cat,comment,creditability,content,expression
เครื่องฟอกอากาศ,ไม้เลี้ยง​น้ำ สารพัดพลู สินค้า​ค่อนข้างจะ​ไม่สวย กิ่งสั้น    ยังไม่มีราก อ่อน​แอ ตอนนี้ผู้รอดชีวิตที่เหลืออยู่มีแค่พลูใบเงินและพลูอินโดค่ะ,1,1,1
เครื่องฟอกอากาศ,สินค้าดี มีคุณภาพ คุ้มค่าคุ้มราคา ถูกกว่าร้านอื่นในระดับเดียวกัน มีไส้กรองเครื่องฟอกอากาศให้เลือกหลายแบบ จัดส่งรวดเร็ว สินค้าปลอดภัย package แน่นหนา ร้านค้าบริการดี,5,5,4
เครื่องฟอกอากาศ,"ไส้กรองอากาศ เนื้อ Hepa
สำหรับเครื่องกรองยี่ห้อ Sharpe
ราคามาตรฐาน ไม่แพง ไม่ถูก
ขนาดใกล้เคียงของเดิม
ใส่แล้ว รู้สึกว่าหลวมนิดๆ
แต่ก็ถือว่าใช้ได้",5,4,3
เครื่องฟอกอากาศ,สินค้าส่งรวดเร็วดี​ ทางร้านตอบช้าไปหน่อยต้องถามซ้ำอีกถึงมาตอบให่​ สะดวกมาก​ ไม่ต้องออกไปหาซื้อให้เสียเวลาเลย​,4,4,3
เครื่องฟอกอากาศ,สภาพการห่อคือแย่มาก น่าจะห่อมาดีกว่าดีหน่อย ไม่รู้การใช้งานจะเป็นยังไงบ้าง,3,5,4
เครื่องฟอกอากาศ,สภาพที่มาถึง คือแย่มาก กล่องโดนเปิด บริการแย่มากกกกๆๆ,2,4,5
เครื่องฟอกอากาศ,"แพ็คสินค้าดี ตรงตามที่ต้องการ
สินค้าสภาพดี",2,3,2
เครื่องฟอกอากาศ,ใช้แล้ว ลองวัดค่า pm 2.5 แล้ว ฟอกได้เหลือแค่ค่า 12 ต่ำสุด ในขณะที่แผ่นเก่าที่ติดมากลับเครื่อง ฟอกได้จนเหลือ 2 อาจจะสั่งผิดแบบมา,5,4,2
เครื่องฟอกอากาศ,ส่งของช้ามาก,2,3,1
เครื่องฟอกอากาศ,ทดลองใช้สินค้าแล้ว คุ้มค่าคุ้มราคา จะเล่าให้เพื่อนๆฟังว่าในวันที่ดูสินค้าครั้งแรกขึ้นโชว์ว่ากำลังจะขึ้นแฟลชเซลล์ ลูกค้าจึงรอเวลานั้น เมื่อถึงเวลากลับพบว่าสินค้าก็ราคาเท่าเดิม มิได้ลดราคาแต่อย่างใด (อันนี้อาจจะเป็นลูกเล่นทางแพลตฟอร์ม) ลักษณะร้านเป็นแบบมีแอดมินช่วยตอบปัญหาเบื้องต้นเท่านั้น แต่ไม่ใช่ผู้ดูแลร้านที่จะกำหนดราคา หรือเพิ่มเติมสต็อคเองได้ ต้องรอผู้ดูแลร้านมาปรับปรุงสต็อคให้,5,5,3
เครื่องฟอกอากาศ,"สั่งซื้อครั้งที่ 2แล้ว  บริษัทใช้เวลาจัดเตรียมพัสดุนานเหมือนเคย แต่ขนส่งนำส่งเร็วสรุปใช้เวลา 4-5 วันได้รับของ Packaging ดีไม่มีปัญหา
 แต่ข้อความที่เขียนไปในโน๊ตคำสั่งซื้อไม่มีประโยชน์อะไรไม่มีใครอ่าน ทีหลังไม่ต้องมีช่องให้เขียนก็ได้",5,4,3
เครื่องฟอกอากาศ,คุณภาพดี ขนาดไม่เล็กไม่ใหญ่ เสียงไม่ดังมาก ลมแรง จัดส่งเร็ว สินค้าไม่มีปัญหา ถูกใจมากคะ,4,4,4
เครื่องฟอกอากาศ,"ระยะเวลาในการจัดส่งจากวันที่ สั่งซื้อ จนถึงวันได้รับสินค้ารวมทั้งสิ้น 16 วันทำการค่ะ เพราะรอ pre order 
บรรจุภัณฑ์ก็ตามสภาพ แต่ซีลด้วยพลาสติก 
คุณภาพการใช้งานเดี๋ยวมารีวิวค่ะ",4,5,2
เครื่องฟอกอากาศ,สินค้าสภาพไม่เสียหายใช้ได้ดีค่ะ แต่จัดส่งเเจ้งสถานะว่าติดต่ผู้รับไม่ได้ทั้งที่ยังไม่ได้โทร.หาเลย แต่กลับส่งข้อความมาให้ยืนยันวันรับของ งง.,4,5,3
เครื่องฟอกอากาศ,คุณภาพ: ดินคุณภาพดีมีรอย​ฉีกขาดของถุงดิน,1,1,1
เครื่องฟอกอากาศ,คุณภาพ: ทดลองพึ่งสั่งครั้งแลกลองใช้ก่อนว่าดีมั้ยเพราะดีมั้ย แต่ส่งไวโอเคเลย แต่น่าจะดีแหละ ขอลองก่อนเดะมาเอาอีก,2,3,2
เครื่องฟอกอากาศ,ได้รับของแล้วครับร้านนี้ราคาถูกแถมได้เยอะมากส่งไวแพ็คมาดีไว้โอกาศน่าจะอุดหนุนไหม่,4,5,5
เครื่องฟอกอากาศ,ส่งไวแพ๊คดีมากครับราคาไม่แพงเป็นเม็ดเลยไม่มีผงเลยครับถือว่าผ่านคุ้มราคาเทียบกับหลายๆเจ้าถือว่าราคาดียุครับสั่งหลายรอบแล้ว,1,1,1
เครื่องฟอกอากาศ,คุณภาพ: ดีสินค้าโอเคค่ะ แพ็คเกจมาสินค้าโอเคค่ะสภาพดี ราคาโอเคเลยค่ะ ร้านนี้มีสินค้าให้สั่งซื้อหลายรายการนำไปปลูกต้นไม้,1,1,1
เครื่องฟอกอากาศ,ดีครับสั่ง4รอบแล้วครับของไม่แพงครับคุ้มๆครับผสมได้เยอะ4ลิตรใช้ได้กับดิน20ลิตรอยู่ๆเลยครับไม่แพงร้านนี้,1,1,1
เครื่องฟอกอากาศ,ได้รับสินค้าแล้ว ร้านค้าเตรียมของจัดส่งนานไปหน่อย สินค้าตรงปกแต่ยังไม่ได้ทดลองใช้ สินค้าป่นผงฝุ่นเยอะไปหน่อย สินค้าห่อมาในถุงพลาสติก,4,3,2
เครื่องฟอกอากาศ,เอามาห่อใส้กรองเพื่อลดการเกาะของฝุ่นจากตัวใส่กรองอีกที แต่ยังไงก็ต้องเปลี่ยนตามอายุการใช้งานอยู่ดี,4,2,2
เครื่องฟอกอากาศ,"จำนวน 10 แผ่น 140฿
สั่ง 12/1/65
ได้รับ 13/1/65
ร้านนี้ไม่ได้แยกแพ๊คให้แต่มีแถบกาว",4,3,1
เครื่องฟอกอากาศ,ร้านค้าจัดส่งรวดเร็วดีครับซื้อครบแพ็ค 5 เซตราคาไม่แพงครับใช้โค้ดส่วนลดยิ่งถูกไปใหญ่เลยครับขอบคุณมากๆครับ,4,3,4
เครื่องฟอกอากาศ,ได้รับสินค้าแล้ว ดูมีคุณภาพดี ต้องทดลองใช้ดูก่อน ร้านค้าส่งของรวดเร็วดี ขนส่งบริการดี ถ้าใช้ดี จะอุดหนุนเพิ่มอีกอย่างแน่นอน,3,4,3
เครื่องฟอกอากาศ,สินค้าจัดส่งใข้เวลา 2-3 วัน  ทดลองใช้เป็นครั้งแรก  ถ้าใช้ดีสั่งเพิ่มอีกแน่   มีกระดาษกาวติดมาให้สะดวกใช้  รอดูซัก 2-3 อาทิตย์ว่าเปนอย่างไร,3,3,2
เครื่องฟอกอากาศ,คุณภาพ: ดีสินค้า​คุ้มค่า​กับ​ราคา​พอสมควร​ คุณภาพ​ปานกลาง​ ดูบางๆไปหน่อย แพ็ค​สินค้า​มาดี​ ขนส่ง​ค่อนข้าง​รวดเร็ว​,4,5,2
เครื่องฟอกอากาศ,จัดส่งเร็วเลย คุณภาพดูโอเคดี แต่ใชกับรุ่น 4 pro ไม่พอดี ไม่คิดว่าจะไม่พอดีนะ แต่ก็โอเคราคาไม่แพงด้วย,5,3,3
เครื่องฟอกอากาศ,ไม่ใช่ของแบรนฮาตาริ  ไม่มียี่ห้อใส่เครื่องแล้วไฟ ฟิวเตอร์เช็คยังขึ้นอยู่,4,3,1
เครื่องฟอกอากาศ,คุณภาพ: แผ่นกรองอากาศเฮ็ดป้าซื้อมาเพื่อใส่ในเครื่องกรองอากาศอีกทีนึงและแอร์ที่บ้านจะได้ช่วยกันฝุ่นได้แผ่นหนาดีค่ะราคาไม่แพงจัดส่งไวเรียบร้อยดี ￼การใช้งาน: น่าจะใช้งานได้ดีนะคะ,4,4,3
เครื่องฟอกอากาศ,คุณภาพ: แผ่นกรองอากาศให้ป้าซื้อมาเพิ่มใส่ในเครื่องกรองอากาศอีกทีนึงจะได้มีประสิทธิภาพดีขึ้นในช่วงฝุ่นที่มีค่าสูงเช่นนี้การใช้งาน: การใช้งานน่าจะดีแผ่นหนาดีนะคะ,3,3,2
เครื่องฟอกอากาศ,สินค้าคุณภาพดีค่ะ รองสินค้าประมาน 3-4 วัน การจัดส่งรวดเร็วดีค่ะ ถ้าดีโอกาสหน้าอุดหนุนใหม่นะคะ,3,4,3
เครื่องฟอกอากาศ,ได้รับสินค้าถูกต้องครบถ้วน จัดส่งรวดเร็วดีมาก สั่ง 10 ผืนจับรวมใส่ถุงมาอันเดียว คาดว่าเป็นแบบชิ้นแบ่งขาย ทำให้ไม่สามารถแน่ใจเรื่องความสะอาดของสินค้าระหว่างจัดเก็บหรือระหว่างบรรจุได้,5,5,3
เครื่องฟอกอากาศ,ส่งไวมากก สินค้าดูดีดูโอเคจร้าาาา แพ็คมาอย่างดีจร้า สินค้าใช้ดีมากจร้าาา แพ็คมาอย่างดีจร้ส ส่งไวววววว สินค้าดูโอเคจร้าาา แพ็คมาอย่างดีจร้า 👍🏻👍🏻,5,4,4
เครื่องฟอกอากาศ,สั่งแผ่นกรองอากาศวันที่11.. ได้รับวันที่12.. ส่งเร็วมาก.. ห่อมาอย่างดีไม่เสียหาย.. ราคาไม่แพง...........,4,4,2
เครื่องฟอกอากาศ,"ร้านจัดส่งได้รวดเร็วดีมาก  หีบห่อพัสดุก็เป็นกล่องเห็นๆเลยว่าเป็นอะไร แต่ข้างในมีโฟมซ้อนกันอยู่ สินค้าด้านในไม่ได้รับความเสียหายใดๆ ตัวสินค้าดูสวยดี เบาบางแต่ก็ไม่ก๊องแก๊งเกินไป ทดลองใช้งานเบื้องต้นไม่มีอะไรผิดปกติ หน้าจอเป็นระบบสัมผัส แต่ก็มีรีโมทเล็กๆน่ารักมากด้วย มี หลายโหมด มีตั้งระดับความแรงและตั้งเวลาปิดได้ เสียงเงียบดี ฟอกอากาศดูแล้วน่าจะดี สายไฟสั้นไปนิด ส่วนความทนต้องดูต่อไป โดยรวมแล้วคุ้มเกินราคาค่ะ
Ninja Van ส่งรวดเร็วดี พนง.สุภาพ บริการดีมากค่ะ",5,5,3
เครื่องฟอกอากาศ,ได้รับสินค้าเรียบร้อยแล้วครับ สินค้าตรงตามที่แจ้งและสั่งซื้อไว้ ราคาคุ้มค่ามาก จัดส่งรวดเร็วทันใจมาก ให้ดาว5ดาวเลย.. แต่ขอทดลองใช้ก่อนนะครับถ้าดีไม่ดีจะมารีวิวแจ้ง,4,4,2
เครื่องฟอกอากาศ,ทางร้านแพคจัดส่ง ห่อแบบตามภาพค่ะ ตัวสินค้าโอเครรร ได้มาตอนจัดโปรฯ ราคาพิเศษ ทางขนส่ง จัดส่งช้าไป 1 วัน แต่โอเครรรค่ะ ตัวสินค้าใช้งานได้ดี มีแต่แผ่นกรอง มีรอยขาดนิดนึง ตามภาพค่ะ,5,5,3
เครื่องฟอกอากาศ,ได้รับสินค้าอาจจะช้าหน่อย แต่ใช้งานง่ายเพราะเป็นภาษาไทยลองใช้งานแล้วเหมือนจะสดชื่นขึ้นมาหน่อยได้รับสินค้าอาจจะช้าหน่อย แต่ใช้งานง่ายเพราะเป็นภาษาไทยลองใช้งานแล้วเหมือนจะสดชื่นขึ้นมาหน่อยได้รับสินค้าอาจจะช้าหน่อย แต่ใช้งานง่ายเพราะเป็นภาษาไทยลองใช้งานแล้วเหมือนจะสดชื่นขึ้นมาหน่อยได้รับสินค้าอาจจะช้าหน่อย แต่ใช้งานง่ายเพราะเป็นภาษาไทยลองใช้งานแล้วเหมือนจะสดชื่นขึ้นมาหน่อยขนส่งเอาำปส่งถึงบ้านเลย..แนะนำค่ะ,5,4,3
เครื่องฟอกอากาศ,โดยรวมไม่มีการเสียหาย ดูจากคอมเม้น ตัวเลขที่ขึ้นหน้าเครื่องแต่ละคนไม่เท่ากัน เลยไม่รู้ว่าอันไหนอากาศดีรึไม่ดี ก่รจัดส่งนาน,4,4,2
เครื่องฟอกอากาศ,ไม่มีตัวปล่อยประจุไอออนลบมาให้ มีแต่ฟังชั่น,3,3,2
เครื่องฟอกอากาศ,คุณภาพ: โดยรวมก็พอใช้ได้ สมกับราคา สภาพหีบห่อบรรจุภายในกล่องโฟมแตกการใช้งาน: พอใช้ได้ ลมไม่แรงมาก สมราคา,5,4,4
เครื่องฟอกอากาศ,ขดดูระยะยาวหน่อยจะมาเพิ่มให้ถ้าดีจริง,1,1,1
เครื่องฟอกอากาศ,คุณภาพ: พอใช้ตัวล็อกฝาเปิดแตกหัก หลวม,4,3,2
เครื่องฟอกอากาศ,การใช้งาน: พึ่งได้รบสินค้าเดี๋ยวทดลองใช้ดูก่อน,2,1,1
เครื่องฟอกอากาศ,ตรงที่ล็อคครอบฝาหัก 1 ข้าง,2,3,1
เครื่องฟอกอากาศ,รอสินค้านานมากๆ,1,3,2
เครื่องฟอกอากาศ,"คุณภาพสินค้าดีมาก แพ็คเกจดี ได้ของครบค่ะ
ล๊อตผลิตใหม่ดีค่ะ จัดส่งรวดเร็ว ราคาถูก
ถ้าหมดจะกลับมาซื้อใหม่อีกค่ะ",5,4,4
เครื่องฟอกอากาศ,เครื่องฟอกอากาศรุ่นนี้เพิ่งเคยซื้อมาใช้ ขนาดกำลังดี ไม่หนักมาก ใช้งานง่าย ไฟสวยดี ผู้ขายจัดส่งของรวดเร็วดี แพ็คของมาดี,5,5,3
เครื่องฟอกอากาศ,"คุณภาพเหมาะสมกับราคา จอภาพเป็นภาษาไทย ใช้งานง่าย
เหมาะกับผู้สูงอายุ มีเลขแจ้งอุณหภูมิ การจัดส่งไวมาก เพียง 2 วันถึง แต่ยังไม่ลองใช่",5,5,4
เครื่องฟอกอากาศ,สามารถกรองอากศได้จริงๆ ลองทดสอบโดยวางไว้ใกล้ควันธูปแล้ว ค่าอากาศขึ้นสูงอย่างเร็ว คิดว่าคุ้มกับราคา ตอนนี้มีติดบ้านไว้อุ่นใจขึ้นมานิดนึง,5,4,2
เครื่องฟอกอากาศ,"มีที่วัดอุณหภูมิแต่ไม่แม่นเลย (ไม่มีดีกว่า)     

 มีตัววัด PM.แต่ไม่ได้วัดจริงหลอกชัด ๆ เปิเครื่องมา 100 กว่า 1 นาทีเหลือ สิบกว่า ๆ ไม่ใช่แล้ว (ไม่มีดีดว่า) 

 เมื่อวัดมั่ว โหมด AUTO ก็คือมั่วตาม(ไม่มีดีกว่า)

เครื่องตอนสั่งหน้าร้านบอกขนาดกรอง ไซด์หนึ่ง ส่งมาอีกไซด์หนึ่ง เราจึงสั่ง แผ่นกรองสำรองไปด้วย จึงได้มาไม่เท่ากัน อยากเปลี่ยนเครื่องเป็นไซด์ใหญ่ตามที่บอก ร้านแจ้งเครื่องมีหลายรุ่นถ้าแผ่นกรองใช้ไม่ได้ให้ส่วกรองกลับ 

สรุป สเป็คไม่ตรง",5,5,3
เครื่องฟอกอากาศ,คุณภาพ: ดีได้รับสินค้าเรียบร้อย ส่งไวกว่าวันที่กำหนด แพ็คสิ้นค้ากันกระแทกดีแน่นหนา,4,4,2
เครื่องฟอกอากาศ,"ไม่ได้จัดส่งสันถัดไปแต่ก็ถือว่าเร็ว มาถึงก็เร็วเมื่อเทียบว่าส่งจากต่างประเทศ ได้แผ่นคาร์บอนมา 2 แผ่นต่อ 1 ไส้กรอง หนา 1 บาง 1 แต่บางก็ไม่ได้บางมาก (นี่ซื้อ 3) แล้วได้แถมแผ่นเหลืองมา 
ใส่แผ่นคาร์บอนทั้ง 2 แผ่นไปเลยได้
ได้แปรง 1 อันต่อ 1 ไส้กรอง",5,3,3
เครื่องฟอกอากาศ,"รอสินค้าไม่นานมากเพราะเป็นสินค้าจากต่างประเทศ
ราคาถูก แต่ไม่ใช่ของแท้ รับสินค้ามาดี ถ้าไม่มีบุบเสียหาย",4,4,3
เครื่องฟอกอากาศ,จัดส่งรวดเร็ว ประมาณ 1 อาทิตย์ ถือว่าเร็ว(ส่งจากต่างประเทศ)ราคาถูกเป็นพิเศษได้รับสินค้าครบตามรายละเอียดทีแจ้งไว้ ในสภาพเรียบร้อย ใช่งานได้ดี,4,4,3
เครื่องฟอกอากาศ,รถแฟนก็ใช้แบรนด์นี้ แล้วพอลอง search  หาข้อมูลในกูเกิ้ล ก็มีแบรนด์CONOCO ติดโผเกือบทุกครั้งเลยตัดสินใจซื้อมาใช้งาน,3,2,1
เครื่องฟอกอากาศ,เครื่องฟอกอากาศในรถยนต์ใช้งานง่ายสะดวก อากาศสะอาด ปลอดภัย หายใจโล่งสบายจมูก,5,4,2
เครื่องฟอกอากาศ,ร้านค้าจัดส่งสินค้ารวดเร็วมาก ๆ  แพ็กสินค้าเรียบร้อย สินค้าไม่เสียหาย สินค้าถูกต้องตรงตามที่สั่งไป ขนส่งจัดส่งเรียบร้อยดี แล้วจะอุดหนุนอีกนะคะ,4,4,4
เครื่องฟอกอากาศ,ได้รับสินค้าวันนี้....ทดลองใช้งานแล้วใช้งานได้ปกติไม่มีปัญหา..ร้านค้าจัดส่งรวดเร็วดีมากทดลองใช้เป็นที่พึงพอใจ...มันอยู่ในกล่องพอกันกระแทกมาอย่างดี.....เยี่ยม...... :),5,4,5
เครื่องฟอกอากาศ,การจัดส่งสินค้าค่อนข้างรวดเร็ว สั่งของคืนวันอังคาร ได้รับวันพฤหัสบดี สภาพสินค้าปกติ มีการห่อบับเบิ้ล เพื่อป้องกันการกระแทก,4,5,3
เครื่องฟอกอากาศ,คุณภาพ: ดีสินค้าส่งเร็วส่งไวสินค้าตรงตามปกสินค้าดูคุณภาพดีมากสมกับราคาเครื่องไม่มีตำหนิดูภายนอกโดยรวมแล้วสินค้าดีค่ะ ￼,4,4,4
